# file...... eplus_load.csv
# date...... Mon Jul 11 20:03:21 2022
# user...... root
# host...... (null)
# target.... meter 24
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power,measured_voltage_AB
2013-07-01 00:00:00 PDT,+75000.9999211,+14.9999785432,+417.347+234.178j
2013-07-01 00:01:00 PDT,+1,+15,+407.425+234.944j
2013-07-01 00:02:00 PDT,+1,+15,+407.43+234.949j
2013-07-01 00:03:00 PDT,+1,+15,+407.434+234.951j
2013-07-01 00:04:00 PDT,+1,+15,+407.434+234.951j
2013-07-01 00:05:00 PDT,+1,+15,+407.172+234.8j
2013-07-01 00:06:00 PDT,+53781.0923986,+14.9999871118,+407.684+230.371j
2013-07-01 00:07:00 PDT,+53781.0924015,+15,+407.684+230.371j
2013-07-01 00:08:00 PDT,+53781.0924015,+15,+407.684+230.371j
2013-07-01 00:09:00 PDT,+53781.0924015,+15,+407.684+230.371j
2013-07-01 00:10:00 PDT,+53781.0924015,+15,+407.494+230.259j
2013-07-01 00:11:00 PDT,+48785.4347859,+15,+407.449+230.673j
2013-07-01 00:12:00 PDT,+48785.4347859,+15,+407.449+230.673j
2013-07-01 00:13:00 PDT,+48785.4347859,+15,+407.449+230.673j
2013-07-01 00:14:00 PDT,+48785.4347859,+15,+407.454+230.678j
2013-07-01 00:15:00 PDT,+48785.4347859,+15,+407.462+230.683j
2013-07-01 00:16:00 PDT,+48784.9160018,+15,+407.462+230.683j
2013-07-01 00:17:00 PDT,+48784.9160018,+15,+407.462+230.683j
2013-07-01 00:18:00 PDT,+48784.9160018,+15,+407.462+230.683j
2013-07-01 00:19:00 PDT,+48784.9160018,+15,+407.462+230.683j
2013-07-01 00:20:00 PDT,+48784.9160018,+15,+407.49+230.699j
2013-07-01 00:21:00 PDT,+48784.373652,+15,+407.441+230.666j
2013-07-01 00:22:00 PDT,+48784.373652,+15,+407.441+230.666j
2013-07-01 00:23:00 PDT,+48784.373652,+15,+407.441+230.666j
2013-07-01 00:24:00 PDT,+48784.373652,+15,+407.441+230.666j
2013-07-01 00:25:00 PDT,+48784.373652,+15,+407.389+230.635j
2013-07-01 00:26:00 PDT,+48783.6842397,+15,+407.34+230.6j
2013-07-01 00:27:00 PDT,+48783.6842397,+15,+407.34+230.6j
2013-07-01 00:28:00 PDT,+48783.6842397,+15,+407.34+230.6j
2013-07-01 00:29:00 PDT,+48783.6842397,+15,+407.34+230.6j
2013-07-01 00:30:00 PDT,+48783.6842397,+15,+407.337+230.598j
2013-07-01 00:31:00 PDT,+48782.597394,+15,+407.433+230.666j
2013-07-01 00:32:00 PDT,+48782.597394,+15,+407.433+230.666j
2013-07-01 00:33:00 PDT,+48782.597394,+15,+407.433+230.666j
2013-07-01 00:34:00 PDT,+48782.597394,+15,+407.433+230.666j
2013-07-01 00:35:00 PDT,+48782.597394,+15,+407.555+230.738j
2013-07-01 00:36:00 PDT,+48781.4400908,+15,+407.506+230.704j
2013-07-01 00:37:00 PDT,+48781.4400908,+15,+407.506+230.704j
2013-07-01 00:38:00 PDT,+48781.4400908,+15,+407.506+230.704j
2013-07-01 00:39:00 PDT,+48781.4400908,+15,+407.506+230.704j
2013-07-01 00:40:00 PDT,+48781.4400908,+15,+407.433+230.661j
2013-07-01 00:41:00 PDT,+48780.2353741,+15,+407.433+230.662j
2013-07-01 00:42:00 PDT,+48780.2353741,+15,+407.433+230.662j
2013-07-01 00:43:00 PDT,+48780.2353741,+15,+407.433+230.662j
2013-07-01 00:44:00 PDT,+48780.2353741,+15,+407.433+230.662j
2013-07-01 00:45:00 PDT,+48780.2353741,+15,+407.452+230.673j
2013-07-01 00:46:00 PDT,+48778.9849791,+15,+407.452+230.672j
2013-07-01 00:47:00 PDT,+48778.9849791,+15,+407.452+230.672j
2013-07-01 00:48:00 PDT,+48778.9849791,+15,+407.452+230.672j
2013-07-01 00:49:00 PDT,+48778.9849791,+15,+407.455+230.679j
2013-07-01 00:50:00 PDT,+48778.9849791,+15,+407.501+230.706j
2013-07-01 00:51:00 PDT,+48777.6912539,+15,+407.501+230.707j
2013-07-01 00:52:00 PDT,+48777.6912539,+15,+407.501+230.707j
2013-07-01 00:53:00 PDT,+48777.6912539,+15,+407.501+230.707j
2013-07-01 00:54:00 PDT,+48777.6912538,+15.0000000059,+407.501+230.707j
2013-07-01 00:55:00 PDT,+48777.6912539,+15,+407.54+230.73j
2013-07-01 00:56:00 PDT,+48776.356509,+15,+407.59+230.766j
2013-07-01 00:57:00 PDT,+48776.356509,+15,+407.59+230.766j
2013-07-01 00:58:00 PDT,+48776.356509,+15,+407.59+230.766j
2013-07-01 00:59:00 PDT,+48776.356509,+15,+407.59+230.766j
2013-07-01 01:00:00 PDT,+48776.356509,+15,+407.635+230.793j
2013-07-01 01:01:00 PDT,+48774.9830579,+15,+407.518+230.71j
2013-07-01 01:02:00 PDT,+48774.9830579,+15,+407.519+230.711j
2013-07-01 01:03:00 PDT,+48774.9830579,+15,+407.519+230.711j
2013-07-01 01:04:00 PDT,+48774.9830579,+15,+407.519+230.711j
2013-07-01 01:05:00 PDT,+48774.9830579,+15,+407.45+230.67j
2013-07-01 01:06:00 PDT,+48773.0925072,+14.9999967697,+407.568+230.756j
